name,Nvoxels,Mean,Std,Median,IQR,Precision-weighted mean,I2
10%+GM,8078,16.05,6.48,15.77,9.17,15.87,30
10%+WM,10265,16.17,6.78,15.68,9.283,15.52,51
80%+GM,228,16.17,4.586,16.21,5.008,16.17,0
90%+WM,1812,16.58,7.513,15.28,9.693,14.86,78
Right_Cerebral_White_Matter_80%+,946,13.48,6.43,12.66,7.357,11.89,63
Left_Cerebral_White_Matter_80%+,954,16.27,7.733,15.12,9.231,15.18,70
Right Caudate,116,18.97,6.186,17.79,6.176,18.92,28
Right Cerebellum,381,18.72,5.593,18.38,8.424,19.26,27
Right Frontal Lobe,1607,14.57,6.755,13.91,9.201,14.41,39
Right Insula,159,16.23,4.803,15.97,5.779,16.57,11
Right Occipital Lobe,698,15.3,4.748,15.07,6.52,14.06,24
Right Parietal Lobe,1307,11.63,4.742,10.98,6.19,11.64,0
Right Putamen,184,19.82,6.271,18.67,8.688,19.62,39
Right Temporal Lobe,942,13.03,4.527,12.9,4.428,10.98,39
Right Thalamus,215,22.4,6.368,21.54,7.83,21.99,37
Left Caudate,217,19.91,8.579,18.31,10.46,20.03,62
Left Cerebellum,452,20.65,4.837,20.81,5.934,21.09,0
Left Frontal Lobe,1658,16.88,8.225,16.16,12.36,16.76,60
Left Insula,233,22.48,4.755,22.66,4.95,21.84,11
Left Occipital Lobe,904,17.52,4.704,17.78,5.743,16.45,29
Left Parietal Lobe,1265,15.28,5.21,15.2,6.91,15.06,29
Left Putamen,215,25.12,5.737,25.03,6.893,25.06,28
Left Temporal Lobe,930,19.56,4.914,19.48,5.882,18.98,10
Left Thalamus,217,23.73,7.472,22.99,9.373,23.5,56
RICA,2008,13.08,5.68,12.33,7.232,12.63,18
LICA,2393,17.26,6.816,17.23,9.979,17.14,40
VBA,1196,16.75,4.526,16.73,6.11,16.46,0
Frontal Pole,272,19.13,7.424,21.52,11.03,19.04,33
Insular Cortex,34,18.36,3.647,16.56,6.267,18.34,0
Superior Frontal Gyrus,3,,,,,,
Middle Frontal Gyrus,31,15.05,3.709,14.32,4.222,14.92,0
"Inferior Frontal Gyrus, pars triangularis",4,,,,,,
"Inferior Frontal Gyrus, pars opercularis",11,19.45,3.279,21.01,4.615,19.48,0
Precentral Gyrus,55,14.05,3.852,14.33,4.516,13.94,0
Temporal Pole,84,18.79,4.42,16.23,7.92,18.88,0
"Superior Temporal Gyrus, anterior division",0,,,,,,
"Superior Temporal Gyrus, posterior division",7,,,,,,
"Middle Temporal Gyrus, anterior division",6,,,,,,
"Middle Temporal Gyrus, posterior division",20,13.26,3.3,12.25,6.527,13.26,0
"Middle Temporal Gyrus, temporooccipital part",13,13.15,3.74,11.27,7.479,13.17,0
"Inferior Temporal Gyrus, anterior division",0,,,,,,
"Inferior Temporal Gyrus, posterior division",2,,,,,,
"Inferior Temporal Gyrus, temporooccipital part",15,12.17,1.929,11.4,1.26,12.2,0
Postcentral Gyrus,49,12.69,4.779,13.37,8.486,12.76,0
Superior Parietal Lobule,16,6.268,2.206,6.211,4.254,6.307,0
"Supramarginal Gyrus, anterior division",17,12.26,4.166,14.37,7.062,12.22,0
"Supramarginal Gyrus, posterior division",8,,,,,,
Angular Gyrus,11,11.36,3.236,10.09,2.885,11.26,0
"Lateral Occipital Cortex, superior division",126,11.74,3.545,10.71,5.172,11.98,0
"Lateral Occipital Cortex, inferior division",56,15.53,3.207,17.07,6.034,15.33,0
Intracalcarine Cortex,4,,,,,,
Frontal Medial Cortex,15,9.032,2.437,8.389,2.373,8.944,0
Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),11,7.877,2.019,7.292,2.104,8.007,0
Subcallosal Cortex,24,11.35,4.619,10.44,4.415,10.9,0
Paracingulate Gyrus,21,14.17,3.001,13.75,4.627,14.17,0
"Cingulate Gyrus, anterior division",45,14.85,9.31,12.04,18.22,15.01,59
"Cingulate Gyrus, posterior division",51,18.33,3.281,18.07,3.262,18.5,0
Precuneous Cortex,88,15.07,3.013,15.13,4.189,15.07,0
Cuneal Cortex,11,18.01,1.558,18.13,2.192,18.14,0
Frontal Orbital Cortex,56,20.62,4.186,19.67,6.562,20.6,0
"Parahippocampal Gyrus, anterior division",4,,,,,,
"Parahippocampal Gyrus, posterior division",3,,,,,,
Lingual Gyrus,63,22.56,4.183,22.47,6.189,23.1,0
"Temporal Fusiform Cortex, anterior division",3,,,,,,
"Temporal Fusiform Cortex, posterior division",11,12.53,2.496,13.13,4.097,12.58,0
Temporal Occipital Fusiform Cortex,12,14.65,2.7,15.78,3.54,14.67,0
Occipital Fusiform Gyrus,3,,,,,,
Frontal Operculum Cortex,0,,,,,,
Central Opercular Cortex,18,18.4,2.711,19.19,2.443,18.39,0
Parietal Operculum Cortex,4,,,,,,
Planum Polare,0,,,,,,
Heschl's Gyrus (includes H1 and H2),0,,,,,,
Planum Temporale,0,,,,,,
Supracalcarine Cortex,0,,,,,,
Occipital Pole,109,19.9,3.383,20.23,4.588,20.17,0
Left Cerebral White Matter,2005,16.7,7.546,15.81,9.714,15.95,65
Left Cerebral Cortex,2073,17.5,5.611,17.76,7.724,17.58,0
Left Lateral Ventricle,5,,,,,,
