name,Nvoxels,Mean,Std,Median,IQR,Precision-weighted mean,I2
10%+GM,15444,50.22,25.45,50.98,34.02,6.395e-05,99
10%+WM,12134,48.42,23.18,47.41,33.82,0.0004719,99
80%+GM,628,60.11,20.9,61.24,21.82,60.73,94
90%+WM,2373,30.88,15.3,27.58,17.4,26.93,90
Right_Cerebral_White_Matter_80%+,1129,29.52,14.69,26.53,15.53,27.82,90
Left_Cerebral_White_Matter_80%+,1144,30.91,16.33,27.54,17.02,29.01,93
Right Caudate,145,38.21,22.18,38.36,38.64,37.23,93
Right Cerebellum,766,53.79,22.12,57.39,26.85,5.251e-05,99
Right Frontal Lobe,3407,42.39,23.56,42.49,34.66,6e-05,99
Right Insula,291,48.6,18.85,49.51,29.76,44.41,90
Right Occipital Lobe,1229,50.62,29.23,54.24,43.72,4.293e-05,99
Right Parietal Lobe,2450,52.34,29.18,50.89,43.68,0.0006705,99
Right Putamen,222,48.5,17.56,48.03,25.38,46.3,89
Right Temporal Lobe,2038,41.13,26.27,41.54,37.89,1.503e-05,99
Right Thalamus,266,54.53,26.73,49.56,37.88,53.59,94
Left Caudate,306,42.72,24.43,35.86,33.03,40.2,93
Left Cerebellum,844,48.35,23.59,52.62,30.28,3.041e-05,99
Left Frontal Lobe,3590,44.31,25.58,44.23,39.17,5.781e-05,99
Left Insula,344,50.91,20.64,48.44,32.98,47.13,91
Left Occipital Lobe,1551,44.63,28.68,45.38,42.96,4.707e-05,100
Left Parietal Lobe,2395,48.34,27.25,46.72,39.86,0.001526,99
Left Putamen,258,52.66,19.44,51.28,28.52,50.23,89
Left Temporal Lobe,2016,35.69,24.32,35.37,36.93,1.151e-05,99
Left Thalamus,272,55.89,23.15,54.05,28.7,53.64,92
RICA,3881,51.97,23.95,51.91,31.39,0.0001239,99
LICA,4780,48.29,25.62,49.38,36.75,6.249e-05,99
VBA,2044,47.34,27.78,49.51,38.78,3.301e-05,99
Frontal Pole,719,41.17,27.77,44.38,49.18,3.049e-05,99
Insular Cortex,47,56.49,11.01,57.02,8.895,56.71,50
Superior Frontal Gyrus,27,59.59,16.18,58.75,22.09,56.25,93
Middle Frontal Gyrus,80,59.59,19,58.76,21.46,56.75,97
"Inferior Frontal Gyrus, pars triangularis",10,50.46,14.23,48,15.12,51.43,84
"Inferior Frontal Gyrus, pars opercularis",25,61.51,12.32,61.42,18.81,59.32,80
Precentral Gyrus,106,58.64,18.32,58.88,26.62,54.08,96
Temporal Pole,173,35.2,12.31,36.41,18.63,34.84,76
"Superior Temporal Gyrus, anterior division",1,,,,,,
"Superior Temporal Gyrus, posterior division",13,65.46,8.731,63.94,14.58,62.68,83
"Middle Temporal Gyrus, anterior division",7,,,,,,
"Middle Temporal Gyrus, posterior division",41,44.37,16.39,45.38,24.96,43.41,94
"Middle Temporal Gyrus, temporooccipital part",48,67.61,18.54,66.62,23.02,65.52,96
"Inferior Temporal Gyrus, anterior division",5,,,,,,
"Inferior Temporal Gyrus, posterior division",6,,,,,,
"Inferior Temporal Gyrus, temporooccipital part",34,51.71,22.39,48.04,28.31,51.34,95
Postcentral Gyrus,85,51.54,15.27,48.77,19.56,47.84,95
Superior Parietal Lobule,31,33.05,16.28,27.31,16.97,32.69,97
"Supramarginal Gyrus, anterior division",30,60.32,13.06,63.99,17.01,59.16,91
"Supramarginal Gyrus, posterior division",25,57.7,12.02,59.17,9.753,58.95,88
Angular Gyrus,44,72.96,23.03,70.68,30.94,66.78,97
"Lateral Occipital Cortex, superior division",355,55.9,26.87,52.86,35.72,49.95,98
"Lateral Occipital Cortex, inferior division",134,55.24,24.84,52.51,30.17,50.32,98
Intracalcarine Cortex,17,74.21,13.58,72.49,12.29,71.66,89
Frontal Medial Cortex,37,10.17,8.197,6.58,11.93,1.303e-05,81
Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),48,62.37,19.09,66.08,22.55,58.71,93
Subcallosal Cortex,45,32.14,13.67,33.83,22.71,31.82,69
Paracingulate Gyrus,93,61.14,16.59,64.73,20.36,61.12,89
"Cingulate Gyrus, anterior division",106,66.15,12.34,66.27,14.58,64.88,62
"Cingulate Gyrus, posterior division",90,101,16.99,99.78,24.8,97.89,85
Precuneous Cortex,182,81.35,21.24,83.97,28.94,78.88,96
Cuneal Cortex,16,59.15,9.43,59.34,14.1,58.53,89
Frontal Orbital Cortex,86,50.43,9.925,50.75,11.42,51.56,36
"Parahippocampal Gyrus, anterior division",23,40.22,14.99,38.63,20.73,39.79,80
"Parahippocampal Gyrus, posterior division",2,,,,,,
Lingual Gyrus,93,69.43,14.02,66.81,16.71,70.17,86
"Temporal Fusiform Cortex, anterior division",11,29.91,19.73,36.7,34.03,1.176e-06,94
"Temporal Fusiform Cortex, posterior division",43,36.87,14.94,39.11,22.06,33.85,83
Temporal Occipital Fusiform Cortex,29,62.98,12.63,61.74,18.46,60.88,83
Occipital Fusiform Gyrus,18,67.46,18.57,61.21,31.39,65.98,96
Frontal Operculum Cortex,2,,,,,,
Central Opercular Cortex,36,61.64,15.4,61.79,17.3,53.72,88
Parietal Operculum Cortex,14,59.55,15.86,60.76,22.05,52.83,94
Planum Polare,1,,,,,,
Heschl's Gyrus (includes H1 and H2),0,,,,,,
Planum Temporale,0,,,,,,
Supracalcarine Cortex,0,,,,,,
Occipital Pole,155,52.97,25.49,49.1,36.04,0.0006449,100
Left Cerebral White Matter,2339,39.12,22.21,33.63,27.46,36.5,97
Left Cerebral Cortex,4347,53.3,24.59,54.54,33.28,0.0001531,99
Left Lateral Ventricle,52,27.88,19.03,23.6,12.59,26.81,91
Left Thalamus,87,75.24,23.44,76.29,30.24,73.99,91
Left Caudate,24,73.67,14.4,76.55,21.25,73.7,79
Left Putamen,53,65.41,15.03,65.18,26.37,63.06,83
