name,Nvoxels,Mean,Std,Median,IQR,Precision-weighted mean,I2
10%+GM,628,60.11,20.9,61.24,21.82,60.73,94
10%+WM,203,59.63,21.25,62.47,21.49,58.99,95
80%+GM,628,60.11,20.9,61.24,21.82,60.73,94
90%+WM,0,,,,,,
Right_Cerebral_White_Matter_80%+,0,,,,,,
Left_Cerebral_White_Matter_80%+,0,,,,,,
Right Caudate,1,,,,,,
Right Cerebellum,99,68.84,10.1,68.01,13.74,68.95,79
Right Frontal Lobe,69,58.84,22.91,61.55,22.45,59.71,95
Right Insula,38,61.23,10.71,60.26,12.06,63.73,64
Right Occipital Lobe,27,70.45,16.37,77.01,15.08,70.25,93
Right Parietal Lobe,31,82.37,26.8,87.16,42.19,73.57,97
Right Putamen,4,,,,,,
Right Temporal Lobe,112,53.08,18.08,52.38,20.99,54.85,91
Right Thalamus,0,,,,,,
Left Caudate,5,,,,,,
Left Cerebellum,117,65.18,14.22,63.9,19.34,65.21,90
Left Frontal Lobe,56,53.66,25.7,57.78,34.95,59.35,94
Left Insula,23,63.68,11.94,64.38,11.25,64.95,67
Left Occipital Lobe,55,61.93,18.6,62.12,24.38,62.65,94
Left Parietal Lobe,41,67.13,28.64,58.79,40.14,59.74,97
Left Putamen,9,,,,,,
Left Temporal Lobe,77,48.35,17.29,51.22,17.67,46.96,94
Left Thalamus,0,,,,,,
RICA,146,57.02,17.89,56.06,18.57,58.6,91
LICA,128,55.31,21.12,57.2,20.55,55.65,94
VBA,98,60.95,18.13,62.82,23.37,61.68,92
Frontal Pole,23,52.92,28.24,54.56,30.2,61.54,95
Insular Cortex,16,57.78,6.709,59.17,9.48,59.06,28
Superior Frontal Gyrus,0,,,,,,
Middle Frontal Gyrus,0,,,,,,
"Inferior Frontal Gyrus, pars triangularis",2,,,,,,
"Inferior Frontal Gyrus, pars opercularis",0,,,,,,
Precentral Gyrus,1,,,,,,
Temporal Pole,22,39.82,10.88,42.34,12.2,41.09,72
"Superior Temporal Gyrus, anterior division",0,,,,,,
"Superior Temporal Gyrus, posterior division",1,,,,,,
"Middle Temporal Gyrus, anterior division",0,,,,,,
"Middle Temporal Gyrus, posterior division",2,,,,,,
"Middle Temporal Gyrus, temporooccipital part",6,,,,,,
"Inferior Temporal Gyrus, anterior division",0,,,,,,
"Inferior Temporal Gyrus, posterior division",2,,,,,,
"Inferior Temporal Gyrus, temporooccipital part",3,,,,,,
Postcentral Gyrus,0,,,,,,
Superior Parietal Lobule,0,,,,,,
"Supramarginal Gyrus, anterior division",3,,,,,,
"Supramarginal Gyrus, posterior division",2,,,,,,
Angular Gyrus,2,,,,,,
"Lateral Occipital Cortex, superior division",13,50.87,15.05,49.94,8.566,50.11,94
"Lateral Occipital Cortex, inferior division",7,,,,,,
Intracalcarine Cortex,0,,,,,,
Frontal Medial Cortex,2,,,,,,
Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),3,,,,,,
Subcallosal Cortex,6,,,,,,
Paracingulate Gyrus,2,,,,,,
"Cingulate Gyrus, anterior division",6,,,,,,
"Cingulate Gyrus, posterior division",12,110.6,19.09,110.2,30.16,111.3,81
Precuneous Cortex,5,,,,,,
Cuneal Cortex,0,,,,,,
Frontal Orbital Cortex,6,,,,,,
"Parahippocampal Gyrus, anterior division",2,,,,,,
"Parahippocampal Gyrus, posterior division",0,,,,,,
Lingual Gyrus,2,,,,,,
"Temporal Fusiform Cortex, anterior division",2,,,,,,
"Temporal Fusiform Cortex, posterior division",2,,,,,,
Temporal Occipital Fusiform Cortex,4,,,,,,
Occipital Fusiform Gyrus,1,,,,,,
Frontal Operculum Cortex,0,,,,,,
Central Opercular Cortex,1,,,,,,
Parietal Operculum Cortex,0,,,,,,
Planum Polare,0,,,,,,
Heschl's Gyrus (includes H1 and H2),0,,,,,,
Planum Temporale,0,,,,,,
Supracalcarine Cortex,0,,,,,,
Occipital Pole,0,,,,,,
Left Cerebral White Matter,6,,,,,,
Left Cerebral Cortex,160,56.04,24.89,57.31,26.51,54.41,95
Left Lateral Ventricle,0,,,,,,
Left Thalamus,0,,,,,,
Left Caudate,0,,,,,,
Left Putamen,0,,,,,,
Left Pallidum,0,,,,,,
Brain-Stem,0,,,,,,
Left Hippocampus,4,,,,,,
Left Amygdala,4,,,,,,
Left Accumbens,0,,,,,,
Right Cerebral White Matter,7,,,,,,
Right Cerebral Cortex,195,58.18,22.63,57.76,22.64,58.86,94
Right Lateral Ventricle,0,,,,,,
Right Thalamus,0,,,,,,
Right Caudate,0,,,,,,
Right Putamen,0,,,,,,
Right Pallidum,0,,,,,,
Right Hippocampus,4,,,,,,
Right Amygdala,6,,,,,,
Right Accumbens,0,,,,,,
