name,Nvoxels,Mean,Std,Median,IQR,Precision-weighted mean,I2
10%+GM,12794,61.21,28.68,58.51,32.59,54.3,92
10%+WM,7580,56.45,23.25,55.68,28.51,52.37,87
80%+GM,514,41.21,13.23,40.19,15.76,40.57,89
90%+WM,0,,,,,,
Right_Cerebral_White_Matter_80%+,290,53.91,25.12,54.39,28.51,55.82,71
Left_Cerebral_White_Matter_80%+,307,51.11,22.9,51.88,27.77,50.12,70
Right Caudate,91,55.19,25.04,58.77,35.47,51.22,77
Right Cerebellum,365,47.33,19.71,42.1,13.34,39.98,77
Right Frontal Lobe,2360,66.68,31.02,64.17,32.25,61.92,89
Right Insula,183,63,18.41,62.67,24.67,58.31,69
Right Occipital Lobe,910,53.65,26.66,50.88,29.57,48.07,94
Right Parietal Lobe,1710,71.84,27.3,67.52,32.17,63.99,92
Right Putamen,127,60.37,18.65,62.11,29.69,55.65,46
Right Temporal Lobe,1566,55.2,24.66,53.27,31.14,52.69,87
Right Thalamus,127,96.93,30.23,91.98,39.84,93.81,74
Left Caudate,145,54.08,31,54.19,39.4,49.14,81
Left Cerebellum,383,48.06,19.37,42.57,20.2,41.73,84
Left Frontal Lobe,2445,63.55,27.47,61.57,29.82,57.04,91
Left Insula,189,62.14,15.41,61.16,21.24,57.75,54
Left Occipital Lobe,1050,58.64,29.44,55.37,31.44,52.51,95
Left Parietal Lobe,1599,64.84,25.03,62.27,28.63,58.54,91
Left Putamen,131,62.85,21.14,60.32,24.86,61.26,66
Left Temporal Lobe,1504,49.06,22.65,47.38,28.22,45.63,87
Left Thalamus,133,92.01,42.28,88.6,54.71,90.73,92
RICA,3250,65.31,28.65,62.27,30.91,60.25,91
LICA,3822,59.85,26.61,57.94,29.79,54.23,92
VBA,1684,51.43,25.93,47.31,25.41,46.53,94
Frontal Pole,607,62.3,26.91,61.26,28.01,51.73,92
Insular Cortex,48,49.4,9.833,48.31,14.05,48.29,52
Superior Frontal Gyrus,25,79.76,35.48,70.35,45.44,59.76,93
Middle Frontal Gyrus,63,80.88,32.8,68.87,39.56,65.33,93
"Inferior Frontal Gyrus, pars triangularis",10,57.26,18.22,46.54,30.43,58.21,79
"Inferior Frontal Gyrus, pars opercularis",21,72.75,19.44,67.49,21.61,67.26,72
Precentral Gyrus,89,66.08,26.52,60.23,31.41,55.59,91
Temporal Pole,161,45.97,16.15,43.81,22.1,41.38,64
"Superior Temporal Gyrus, anterior division",1,,,,,,
"Superior Temporal Gyrus, posterior division",13,57.09,14.91,55.09,13.67,54.36,92
"Middle Temporal Gyrus, anterior division",5,,,,,,
"Middle Temporal Gyrus, posterior division",38,57.64,22.18,55.47,26.67,50.53,93
"Middle Temporal Gyrus, temporooccipital part",31,61.9,20.26,59.08,11.52,54.69,92
"Inferior Temporal Gyrus, anterior division",7,,,,,,
"Inferior Temporal Gyrus, posterior division",7,,,,,,
"Inferior Temporal Gyrus, temporooccipital part",17,43.84,16.76,41.49,16.73,42.09,88
Postcentral Gyrus,88,56.81,26.38,48.16,27.36,48.12,91
Superior Parietal Lobule,23,71.77,31.54,59.94,31.12,58.31,93
"Supramarginal Gyrus, anterior division",34,57.73,29.48,46.89,32.82,48.37,93
"Supramarginal Gyrus, posterior division",22,66.42,23.01,64.18,21.26,58.65,95
Angular Gyrus,44,60.3,23.3,56.85,23.75,55.59,95
"Lateral Occipital Cortex, superior division",309,68.42,36.34,59.61,37.89,55.2,97
"Lateral Occipital Cortex, inferior division",113,48.65,24.57,45.15,28.15,41.57,96
Intracalcarine Cortex,11,68.41,15.02,69.51,24.26,64.31,58
Frontal Medial Cortex,38,28.61,23.79,24.89,38.34,31.07,84
Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),40,78,30.66,74.24,38.89,61.45,93
Subcallosal Cortex,41,44.05,22.6,43.93,37.26,39.62,79
Paracingulate Gyrus,77,87.56,27.15,80.47,41.03,73.6,87
"Cingulate Gyrus, anterior division",79,75.84,22.12,73.91,36.54,64.48,76
"Cingulate Gyrus, posterior division",70,75.49,16.94,76.03,25,73.62,80
Precuneous Cortex,155,69.01,22.07,65.46,23.39,63.92,92
Cuneal Cortex,15,51.45,13.12,50.16,16.92,54.22,78
Frontal Orbital Cortex,90,46.5,19.98,46.24,25.01,44.04,61
"Parahippocampal Gyrus, anterior division",18,26.27,11.99,25.87,19.25,24.33,75
"Parahippocampal Gyrus, posterior division",4,,,,,,
Lingual Gyrus,77,56.45,14.42,55.23,14.26,54.59,80
"Temporal Fusiform Cortex, anterior division",8,,,,,,
"Temporal Fusiform Cortex, posterior division",19,45.57,10.19,46.66,12.35,43.59,75
Temporal Occipital Fusiform Cortex,17,51.4,14.75,50.73,22.46,49.03,82
Occipital Fusiform Gyrus,19,54.8,20.96,55.2,30.49,54.15,93
Frontal Operculum Cortex,2,,,,,,
Central Opercular Cortex,22,71.42,16.83,69.54,19.41,65.92,71
Parietal Operculum Cortex,10,72.07,11.67,69.89,11.81,68.37,72
Planum Polare,0,,,,,,
Heschl's Gyrus (includes H1 and H2),0,,,,,,
Planum Temporale,0,,,,,,
Supracalcarine Cortex,0,,,,,,
Occipital Pole,143,58.66,32.46,55.69,37.78,53.91,97
Left Cerebral White Matter,1156,56.1,23.39,55.71,28.03,57.92,84
Left Cerebral Cortex,3777,60.98,27.56,58.59,30.35,54.21,93
Left Lateral Ventricle,9,,,,,,
Left Thalamus,46,114.9,31.12,106.6,29.96,116.7,89
Left Caudate,17,58.57,19.41,67.97,29.65,57.76,64
Left Putamen,27,77.94,10.44,78.94,11.36,77.75,0
Left Pallidum,0,,,,,,
Brain-Stem,27,68.41,27.01,71.11,32.81,57.64,70
Left Hippocampus,13,31.9,9.827,28.9,13.98,30.87,9
Left Amygdala,16,30.06,8.067,31.5,8.245,31.49,0
Left Accumbens,1,,,,,,
Right Cerebral White Matter,1163,57.79,24.84,57.47,29.93,56.05,85
Right Cerebral Cortex,3840,64.63,28.68,60.92,31.22,58.04,92
Right Lateral Ventricle,2,,,,,,
Right Thalamus,59,106.6,30.12,101.5,34.93,100.8,79
Right Caudate,19,67.6,16.35,69.86,12.44,62.08,63
Right Putamen,30,77.37,8.582,78.6,9.36,75.11,0
Right Pallidum,0,,,,,,
Right Hippocampus,25,71.08,37.28,56.37,53.95,72.81,96
Right Amygdala,14,27.47,4.985,26.31,7.671,27.44,0
Right Accumbens,1,,,,,,
