name,Nvoxels,Mean,Std,Median,IQR,Precision-weighted mean,I2
10%+GM,12794,74.21,37.28,72.16,42.3,2.048e-05,99
10%+WM,7580,70.19,29.19,69.63,36.48,4.745e-05,98
80%+GM,514,48.57,17.48,48.03,19.64,6.951e-05,99
90%+WM,0,,,,,,
Right_Cerebral_White_Matter_80%+,290,66.86,30.42,66.23,33.67,69.05,72
Left_Cerebral_White_Matter_80%+,307,65.6,29.53,64.24,40.18,64.04,70
Right Caudate,91,55.47,22.86,59.76,34.94,52.47,71
Right Cerebellum,365,52.7,22.43,47.09,15.8,0.0001565,98
Right Frontal Lobe,2360,80.19,39.84,78.26,40.7,1.614e-05,98
Right Insula,183,68.27,19.99,67.92,28.78,62.29,71
Right Occipital Lobe,910,68.32,34.17,65.21,41.12,4.129e-05,99
Right Parietal Lobe,1710,89.2,33.73,84.58,39.29,0.0004199,99
Right Putamen,127,65.31,19.7,68.09,29.92,59.96,45
Right Temporal Lobe,1566,64.33,34.66,64.76,42.72,7.633e-06,98
Right Thalamus,127,92.19,29.83,84.93,40.73,87.17,77
Left Caudate,145,52.45,28.64,54.24,34.08,48.42,80
Left Cerebellum,383,55.09,23,49.86,24.42,0.0001924,99
Left Frontal Lobe,2445,77.43,36.35,75.63,38.51,1.921e-05,98
Left Insula,189,69.55,17.95,69.18,24.31,63.44,56
Left Occipital Lobe,1050,78.08,40.99,73.24,45.53,4.447e-05,99
Left Parietal Lobe,1599,85.11,31.9,82.47,37.59,0.0008867,99
Left Putamen,131,67.77,23.98,66.71,23.92,64.31,69
Left Temporal Lobe,1504,58.46,34.15,56.72,42.26,7.43e-06,98
Left Thalamus,133,88.77,41.1,82.07,52.4,87.42,91
RICA,3250,80.79,37.84,77.88,39.64,2.847e-05,99
LICA,3822,74.67,36.81,73.28,39.86,1.696e-05,99
VBA,1684,66.69,35.69,60.35,37.37,4.657e-05,99
Frontal Pole,607,72.44,35.25,74.64,34.51,8.874e-06,98
Insular Cortex,48,52.39,10.29,49.74,13.37,51.19,52
Superior Frontal Gyrus,25,94.79,41.5,79.66,44.75,73.95,90
Middle Frontal Gyrus,63,103.3,40.48,87,49.17,84.81,92
"Inferior Frontal Gyrus, pars triangularis",10,68.06,20.73,54.48,36.47,69.08,77
"Inferior Frontal Gyrus, pars opercularis",21,84.23,22.8,78.73,22.81,77.55,73
Precentral Gyrus,89,85.9,34.21,79.83,34.32,73.54,90
Temporal Pole,161,51.47,22.48,49.72,26.21,8.67e-06,96
"Superior Temporal Gyrus, anterior division",1,,,,,,
"Superior Temporal Gyrus, posterior division",13,78.22,18.35,74.65,22.62,74.62,89
"Middle Temporal Gyrus, anterior division",5,,,,,,
