name,Nvoxels,Mean,Std,Median,IQR,Precision-weighted mean,I2
10%+GM,1002,48.62,17.73,49.73,16.2,5.1e-05,99
10%+WM,310,45.94,17.88,46.98,15.64,4.706e-05,99
80%+GM,1002,48.62,17.73,49.73,16.2,5.1e-05,99
90%+WM,0,,,,,,
Right_Cerebral_White_Matter_80%+,0,,,,,,
Left_Cerebral_White_Matter_80%+,2,,,,,,
Right Caudate,1,,,,,,
Right Cerebellum,177,48.85,8.209,49.09,10.07,49.29,75
Right Frontal Lobe,103,46.92,15.12,47.64,12.19,4.843e-05,99
Right Insula,25,48.81,5.633,47.79,8.377,48.62,22
Right Occipital Lobe,52,50.26,11.57,49.45,11.68,50.52,86
Right Parietal Lobe,51,63.31,12.82,62.01,17.28,61.83,88
Right Putamen,0,,,,,,
Right Temporal Lobe,152,37.73,21.34,41.82,22.84,9.514e-06,99
Right Thalamus,0,,,,,,
Left Caudate,2,,,,,,
Left Cerebellum,177,47.9,10.22,47.66,10.79,47.73,83
Left Frontal Lobe,144,56.13,12.47,53.05,16.42,56.23,83
Left Insula,51,50.67,10.01,49.65,8.078,50.62,78
Left Occipital Lobe,107,54.53,15.23,51.19,14.47,54.51,92
Left Parietal Lobe,80,65.91,11.59,65.99,15.27,66.1,84
Left Putamen,4,,,,,,
Left Temporal Lobe,137,37.54,20.96,40.56,24.3,1.324e-05,99
Left Thalamus,0,,,,,,
RICA,156,39.64,22.91,44.3,23.3,1.02e-05,99
LICA,225,51.68,20.61,53.15,22.41,3.281e-05,99
VBA,211,48.8,11.85,49.04,11.23,48.52,88
Frontal Pole,8,,,,,,
Insular Cortex,22,48.16,6.185,48.77,7.779,47.51,56
Superior Frontal Gyrus,1,,,,,,
Middle Frontal Gyrus,2,,,,,,
"Inferior Frontal Gyrus, pars triangularis",1,,,,,,
"Inferior Frontal Gyrus, pars opercularis",2,,,,,,
Precentral Gyrus,11,62.4,8.336,64.1,11.89,61.64,76
Temporal Pole,24,18.79,21.62,0,37.28,1.394e-06,97
"Superior Temporal Gyrus, anterior division",0,,,,,,
"Superior Temporal Gyrus, posterior division",0,,,,,,
"Middle Temporal Gyrus, anterior division",0,,,,,,
"Middle Temporal Gyrus, posterior division",0,,,,,,
"Middle Temporal Gyrus, temporooccipital part",2,,,,,,
"Inferior Temporal Gyrus, anterior division",0,,,,,,
"Inferior Temporal Gyrus, posterior division",1,,,,,,
"Inferior Temporal Gyrus, temporooccipital part",0,,,,,,
Postcentral Gyrus,0,,,,,,
Superior Parietal Lobule,0,,,,,,
"Supramarginal Gyrus, anterior division",1,,,,,,
"Supramarginal Gyrus, posterior division",1,,,,,,
Angular Gyrus,1,,,,,,
"Lateral Occipital Cortex, superior division",18,60.6,16.17,59.54,21.38,59.4,93
"Lateral Occipital Cortex, inferior division",12,41.08,12.45,42.18,18.43,40.33,87
Intracalcarine Cortex,0,,,,,,
Frontal Medial Cortex,11,52.18,5.73,52.34,7.948,52.14,15
Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),3,,,,,,
Subcallosal Cortex,10,67.51,21.48,67.54,25.67,60.43,88
Paracingulate Gyrus,27,47.84,6.816,49.74,7.392,48.1,43
"Cingulate Gyrus, anterior division",15,50.17,6.981,51.55,9.278,49.94,63
"Cingulate Gyrus, posterior division",25,68.31,7.012,68.57,9.412,68.23,48
Precuneous Cortex,16,69.14,9.099,67.68,13.81,70.25,74
Cuneal Cortex,0,,,,,,
Frontal Orbital Cortex,8,,,,,,
"Parahippocampal Gyrus, anterior division",0,,,,,,
"Parahippocampal Gyrus, posterior division",0,,,,,,
Lingual Gyrus,0,,,,,,
"Temporal Fusiform Cortex, anterior division",0,,,,,,
"Temporal Fusiform Cortex, posterior division",3,,,,,,
Temporal Occipital Fusiform Cortex,1,,,,,,
Occipital Fusiform Gyrus,5,,,,,,
Frontal Operculum Cortex,0,,,,,,
Central Opercular Cortex,3,,,,,,
Parietal Operculum Cortex,2,,,,,,
Planum Polare,0,,,,,,
Heschl's Gyrus (includes H1 and H2),0,,,,,,
Planum Temporale,0,,,,,,
Supracalcarine Cortex,0,,,,,,
Occipital Pole,1,,,,,,
Left Cerebral White Matter,36,59.45,19.53,59.36,25.12,58,94
Left Cerebral Cortex,313,51.13,20.39,52.28,20.67,4.051e-05,99
Left Lateral Ventricle,0,,,,,,
Left Thalamus,0,,,,,,
Left Caudate,0,,,,,,
Left Putamen,0,,,,,,
Left Pallidum,0,,,,,,
Brain-Stem,0,,,,,,
Left Hippocampus,4,,,,,,
Left Amygdala,8,,,,,,
Left Accumbens,0,,,,,,
Right Cerebral White Matter,6,,,,,,
Right Cerebral Cortex,248,45.85,20.78,49.51,18.98,1.938e-05,99
Right Lateral Ventricle,0,,,,,,
Right Thalamus,0,,,,,,
Right Caudate,0,,,,,,
Right Putamen,0,,,,,,
Right Pallidum,0,,,,,,
Right Hippocampus,7,,,,,,
Right Amygdala,8,,,,,,
Right Accumbens,0,,,,,,
