name,Nvoxels,Mean,Std,Median,IQR,Precision-weighted mean,I2
10%+GM,13833,42.37,21.11,44.4,27.79,3.018e-05,99
10%+WM,11122,38.43,19.19,38.61,27.83,9.689e-05,99
80%+GM,526,49.45,17.42,50.69,20.97,0.0002602,99
90%+WM,1890,23.87,12.43,21.96,14.71,22.95,86
Right_Cerebral_White_Matter_80%+,997,21.74,13.97,18.65,14.39,20.38,88
Left_Cerebral_White_Matter_80%+,997,20.76,11.32,19.49,12.45,19.94,85
Right Caudate,134,22.28,15.79,18.73,26.99,18.92,93
Right Cerebellum,505,36.68,19.01,38.35,21.71,4.159e-05,99
Right Frontal Lobe,3020,42.33,22.35,45.03,32.16,1.563e-05,99
Right Insula,257,34.48,12.14,34.89,16.15,33.77,82
Right Occipital Lobe,1099,38.72,20.99,40.89,26.56,2.963e-05,99
Right Parietal Lobe,2225,42.45,21.19,45.13,33.46,0.000495,99
Right Putamen,204,40.4,10.66,40.81,16.22,39.5,77
Right Temporal Lobe,1791,32.31,23.34,34.47,37.27,6.161e-06,98
Right Thalamus,264,31.17,14.72,30.11,21.61,29.52,91
Left Caudate,280,21.21,15.13,20.35,23.82,17.93,93
Left Cerebellum,770,36.33,18.81,39.1,22.86,3.295e-05,99
Left Frontal Lobe,3189,43.79,21.51,46.36,30.8,2.47e-05,99
Left Insula,304,37,11.6,36.66,15.68,35.94,80
Left Occipital Lobe,1322,42.18,22.27,43.68,29.27,4.476e-05,99
Left Parietal Lobe,2127,42.91,20.11,45.32,29.41,0.000546,99
Left Putamen,217,38.94,12.27,38.3,18.86,37.79,84
Left Temporal Lobe,1826,31.97,21.59,33.7,33.74,9.321e-06,98
Left Thalamus,280,32.13,14.66,31.41,22.51,30.14,91
RICA,3520,45.61,20.32,47.44,26.48,3.893e-05,99
LICA,4332,45.06,20.41,46.94,26.31,3.463e-05,99
VBA,1893,37.94,22.45,40.38,29.1,2.366e-05,99
Frontal Pole,633,54.39,17.51,57.62,18.23,3.094e-05,99
Insular Cortex,47,41.13,9.302,39.65,12.82,41.33,70
Superior Frontal Gyrus,25,50.94,10.9,49.48,8.202,48.38,84
Middle Frontal Gyrus,62,66.95,15.58,69.53,17.51,62.58,89
"Inferior Frontal Gyrus, pars triangularis",9,,,,,,
"Inferior Frontal Gyrus, pars opercularis",22,56.5,6.769,55.14,10.17,56.37,13
Precentral Gyrus,97,58.15,13.28,58.47,15.43,55.81,87
Temporal Pole,162,35.44,20.27,37.36,22.09,6.745e-06,97
"Superior Temporal Gyrus, anterior division",1,,,,,,
"Superior Temporal Gyrus, posterior division",11,48.06,7.9,47.04,9.329,48.92,50
"Middle Temporal Gyrus, anterior division",6,,,,,,
"Middle Temporal Gyrus, posterior division",43,60.23,28.73,61.3,38.88,2.361e-05,99
"Middle Temporal Gyrus, temporooccipital part",44,58.48,22.22,59.68,26.06,4.083e-05,99
