name,Nvoxels,Mean,Std,Median,IQR,Precision-weighted mean,I2
10%+GM,0,,,,,,
10%+WM,2815,17.23,7.552,15.99,8.68,16.29,71
80%+GM,0,,,,,,
90%+WM,2815,17.23,7.552,15.99,8.68,16.29,71
Right_Cerebral_White_Matter_80%+,773,15.23,5.072,15.11,6.392,15.13,40
Left_Cerebral_White_Matter_80%+,777,13.55,5.161,13.24,6.561,13.62,46
Right Caudate,32,17.61,5.806,18.09,5.567,17.32,13
Right Cerebellum,67,25.68,8.048,23.99,10.81,24.9,75
Right Frontal Lobe,399,16.41,5.784,15.66,6.674,15.76,45
Right Insula,69,17.8,5.734,17.83,7.359,17.97,36
Right Occipital Lobe,94,18.09,6.895,17.37,7.387,17.14,85
Right Parietal Lobe,322,16.21,6.549,15.43,8.321,16.53,74
Right Putamen,84,23.77,8.317,23.74,12.91,22.31,56
Right Temporal Lobe,111,17.89,5.834,17.68,7.178,17.91,57
Right Thalamus,123,25.06,11.74,22.1,16.12,24.14,80
Left Caudate,100,15.26,6.058,13.7,6.629,14.45,30
Left Cerebellum,78,24.74,7.777,24.19,8.55,24.53,70
Left Frontal Lobe,431,14.94,5.568,14.14,7.094,13.96,39
Left Insula,110,15.53,5.399,15.04,8.431,14.7,29
Left Occipital Lobe,144,16.52,7.396,15.61,8.097,15.98,91
Left Parietal Lobe,382,13.91,5.014,13.19,6.6,14.35,60
Left Putamen,119,20.27,7.072,19.55,10.55,19.42,57
Left Temporal Lobe,99,14.46,5.47,14.49,7.798,14.38,50
Left Thalamus,115,21.84,11.06,18.55,15.49,20.64,81
RICA,174,18.83,7.25,18.5,10.18,18.23,74
LICA,331,16.05,5.734,15.47,7.247,15.45,55
VBA,116,16.37,7.137,15.88,8.465,15.27,90
Frontal Pole,4,,,,,,
Insular Cortex,0,,,,,,
Superior Frontal Gyrus,0,,,,,,
Middle Frontal Gyrus,2,,,,,,
"Inferior Frontal Gyrus, pars triangularis",0,,,,,,
"Inferior Frontal Gyrus, pars opercularis",0,,,,,,
Precentral Gyrus,0,,,,,,
Temporal Pole,0,,,,,,
"Superior Temporal Gyrus, anterior division",0,,,,,,
"Superior Temporal Gyrus, posterior division",0,,,,,,
"Middle Temporal Gyrus, anterior division",0,,,,,,
"Middle Temporal Gyrus, posterior division",0,,,,,,
"Middle Temporal Gyrus, temporooccipital part",0,,,,,,
"Inferior Temporal Gyrus, anterior division",0,,,,,,
"Inferior Temporal Gyrus, posterior division",0,,,,,,
"Inferior Temporal Gyrus, temporooccipital part",0,,,,,,
Postcentral Gyrus,6,,,,,,
Superior Parietal Lobule,0,,,,,,
"Supramarginal Gyrus, anterior division",0,,,,,,
"Supramarginal Gyrus, posterior division",0,,,,,,
Angular Gyrus,0,,,,,,
"Lateral Occipital Cortex, superior division",4,,,,,,
"Lateral Occipital Cortex, inferior division",0,,,,,,
Intracalcarine Cortex,1,,,,,,
Frontal Medial Cortex,0,,,,,,
Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),0,,,,,,
Subcallosal Cortex,0,,,,,,
Paracingulate Gyrus,0,,,,,,
"Cingulate Gyrus, anterior division",0,,,,,,
"Cingulate Gyrus, posterior division",0,,,,,,
Precuneous Cortex,2,,,,,,
Cuneal Cortex,0,,,,,,
Frontal Orbital Cortex,0,,,,,,
"Parahippocampal Gyrus, anterior division",0,,,,,,
"Parahippocampal Gyrus, posterior division",0,,,,,,
Lingual Gyrus,1,,,,,,
"Temporal Fusiform Cortex, anterior division",0,,,,,,
"Temporal Fusiform Cortex, posterior division",0,,,,,,
Temporal Occipital Fusiform Cortex,0,,,,,,
Occipital Fusiform Gyrus,4,,,,,,
Frontal Operculum Cortex,0,,,,,,
Central Opercular Cortex,0,,,,,,
Parietal Operculum Cortex,0,,,,,,
Planum Polare,0,,,,,,
Heschl's Gyrus (includes H1 and H2),0,,,,,,
Planum Temporale,0,,,,,,
Supracalcarine Cortex,0,,,,,,
Occipital Pole,4,,,,,,
Left Cerebral White Matter,1119,14.3,5.517,13.78,7,14.04,58
Left Cerebral Cortex,85,18.02,7.283,16.27,6.712,18,86
Left Lateral Ventricle,0,,,,,,
Left Thalamus,37,29.74,8.593,29.6,12.67,29.87,68
Left Caudate,0,,,,,,
Left Putamen,21,30.05,3.982,30.49,5.324,30.46,0
Left Pallidum,10,17.6,2.175,17.21,2.389,17.55,0
Brain-Stem,143,25.56,7.421,24.45,8.165,25.16,50
Left Hippocampus,0,,,,,,
Left Amygdala,0,,,,,,
Left Accumbens,0,,,,,,
Right Cerebral White Matter,1094,16.05,5.64,15.58,6.887,15.88,54
Right Cerebral Cortex,75,21.29,7.052,20.57,9.314,20.4,78
Right Lateral Ventricle,0,,,,,,
Right Thalamus,36,37.6,9.887,35.46,14.11,36.89,71
Right Caudate,0,,,,,,
Right Putamen,15,32.9,3.659,32.4,4.416,32.57,0
Right Pallidum,9,,,,,,
Right Hippocampus,0,,,,,,
Right Amygdala,0,,,,,,
Right Accumbens,0,,,,,,
