name,Nvoxels,Mean,Std,Median,IQR,Precision-weighted mean,I2
10%+GM,8620,18.96,7.745,18.21,9.102,6.438e-05,90
10%+WM,11626,19.7,7.9,18.82,9.324,0.000117,93
80%+GM,204,19.96,5.513,20.05,7.668,19.96,0
90%+WM,2815,21.79,7.974,20.59,9.577,21.63,69
Right_Cerebral_White_Matter_80%+,967,19.76,5.784,19.47,7.412,19.8,27
Left_Cerebral_White_Matter_80%+,958,17.64,5.841,17.32,7.257,17.84,41
Right Caudate,115,20.5,4.272,20.66,4.177,20.71,0
Right Cerebellum,362,27.76,6.229,27.17,7.329,28.42,31
Right Frontal Lobe,1834,17.66,7.689,16.8,7.167,0.0002301,90
Right Insula,184,20.38,4.939,19.83,6.883,20.85,0
Right Occipital Lobe,795,26.31,6.925,25.62,9.568,25.6,39
Right Parietal Lobe,1600,20.4,5.319,20.01,6.697,20.67,14
Right Putamen,198,24.73,5.892,24.73,8.309,24.66,20
Right Temporal Lobe,1028,18.55,6.11,19.11,8.062,2.171e-05,91
Right Thalamus,232,29.71,8.869,28.37,12.69,29.72,69
Left Caudate,259,18.91,5.998,18.37,6.93,18.88,25
Left Cerebellum,384,25.4,6.288,25.09,8.277,26.38,32
Left Frontal Lobe,1997,15.62,6.621,14.68,7.129,0.000131,88
Left Insula,247,17.69,4.181,17.49,5.665,17.98,0
Left Occipital Lobe,949,23.87,8.611,22.58,9.74,23.61,63
Left Parietal Lobe,1588,17.56,5.939,17.28,8.075,18.22,21
Left Putamen,229,23.05,5.924,22.52,7.617,23.12,30
Left Temporal Lobe,1003,15.3,5.543,15.43,7.521,1.503e-05,87
Left Thalamus,251,25.98,8.647,25.21,12.15,25.95,68
RICA,2450,17.8,7.225,17.24,7.135,4.49e-05,89
LICA,2946,15.65,6.533,14.96,7.953,3.881e-05,88
VBA,1293,23.92,7.741,22.74,8.743,23.3,49
Frontal Pole,346,15.26,11.3,12.38,6.563,8.976e-05,74
Insular Cortex,31,15.66,2.914,14.42,3.646,15.66,0
Superior Frontal Gyrus,9,,,,,,
Middle Frontal Gyrus,50,14.58,5.125,14.91,5.286,14.65,0
"Inferior Frontal Gyrus, pars triangularis",6,,,,,,
"Inferior Frontal Gyrus, pars opercularis",11,11.52,4.729,10.38,4.905,12.05,0
Precentral Gyrus,72,14.22,4.859,14.5,7.726,14.31,0
Temporal Pole,124,13.91,3.292,13.84,4.477,13.79,0
"Superior Temporal Gyrus, anterior division",0,,,,,,
"Superior Temporal Gyrus, posterior division",10,13.01,1.482,13.37,2.085,12.96,0
"Middle Temporal Gyrus, anterior division",4,,,,,,
"Middle Temporal Gyrus, posterior division",32,15.85,3.135,14.98,3.264,15.21,0
"Middle Temporal Gyrus, temporooccipital part",13,14.94,1.948,15.16,3.146,15.02,0
"Inferior Temporal Gyrus, anterior division",1,,,,,,
"Inferior Temporal Gyrus, posterior division",0,,,,,,
"Inferior Temporal Gyrus, temporooccipital part",11,18.76,3.856,19.57,4.932,19,0
Postcentral Gyrus,76,14.21,6.981,12.04,8.602,17.28,54
Superior Parietal Lobule,15,19.3,3.77,19.61,7.11,19.77,0
"Supramarginal Gyrus, anterior division",18,12.9,2.722,12.87,4.662,12.97,0
"Supramarginal Gyrus, posterior division",15,13.3,2.998,13.38,5.124,13.21,0
Angular Gyrus,19,17.65,1.875,17.51,2.157,17.68,0
"Lateral Occipital Cortex, superior division",209,19.2,4.862,18.65,4.434,20.1,0
"Lateral Occipital Cortex, inferior division",56,19.18,4.379,19.17,3.743,19.51,0
Intracalcarine Cortex,15,30.74,3.238,30.35,5.032,29.93,0
Frontal Medial Cortex,12,32.62,15.76,27.47,28.91,21.52,0
Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),9,,,,,,
Subcallosal Cortex,29,20.46,3.665,20.3,4.925,19.42,0
Paracingulate Gyrus,31,14.72,2.638,14.32,2.038,14.65,0
"Cingulate Gyrus, anterior division",40,14.62,1.716,14.61,1.709,14.59,0
"Cingulate Gyrus, posterior division",60,20.52,4.569,19.71,4.693,20.61,0
Precuneous Cortex,116,22.2,3.237,21.48,3.403,22.34,0
Cuneal Cortex,14,35.46,4.104,35.24,5.481,36.56,0
Frontal Orbital Cortex,72,20.21,5.559,19.05,5.279,19.26,0
"Parahippocampal Gyrus, anterior division",9,,,,,,
"Parahippocampal Gyrus, posterior division",2,,,,,,
Lingual Gyrus,66,29.45,6.349,29.9,10.68,28.55,21
"Temporal Fusiform Cortex, anterior division",1,,,,,,
"Temporal Fusiform Cortex, posterior division",6,,,,,,
Temporal Occipital Fusiform Cortex,9,,,,,,
Occipital Fusiform Gyrus,20,24.91,6.716,27.03,8.848,24.66,51
Frontal Operculum Cortex,0,,,,,,
Central Opercular Cortex,8,,,,,,
Parietal Operculum Cortex,1,,,,,,
Planum Polare,0,,,,,,
Heschl's Gyrus (includes H1 and H2),0,,,,,,
Planum Temporale,0,,,,,,
Supracalcarine Cortex,0,,,,,,
Occipital Pole,123,29.29,9.735,27.89,11.85,30.44,57
Left Cerebral White Matter,2085,17.9,6.369,17.48,7.813,0.001573,94
Left Cerebral Cortex,2694,16.69,7.728,15.37,8.161,4.346e-05,88
Left Lateral Ventricle,20,19.43,6.121,19.1,7.391,19.5,26
Left Thalamus,75,32.77,7.628,31.86,11.63,33.18,58
Left Caudate,18,20.97,3.518,20.48,5.116,21.09,0
Left Putamen,46,30.75,4.515,30.59,5.803,31.36,0
Left Pallidum,10,21.84,2.221,21.87,2.164,21.77,0
Brain-Stem,220,31.73,5.173,31.65,6.65,31.8,0
Left Hippocampus,17,21.11,1.611,20.91,2.099,21.06,0
Left Amygdala,8,,,,,,
Left Accumbens,3,,,,,,
Right Cerebral White Matter,2070,19.98,6.419,19.68,7.582,0.001707,94
Right Cerebral Cortex,2687,19.22,7.523,18.41,7.911,5.041e-05,90
Right Lateral Ventricle,17,19.61,4.823,18.62,4.29,19.78,0
