name,Nvoxels,Mean,Std,Median,IQR,Precision-weighted mean,I2
10%+GM,13459,83.33,41.57,78.39,48.24,74.80,88
80%+GM,526,53.39,20.82,51.26,27.64,51.00,86
10%+WM,8714,73.87,30.46,72.46,39.68,69.87,83
90%+WM,0,,,,,,
gmmask_pure_cort,390,56.70,22.09,57.37,30.56,54.25,87
wmmask_pure_cereb,0,,,,,,
Right_Cerebral_White_Matter_80%+,489,67.46,32.55,65.79,44.45,65.94,77
Left_Cerebral_White_Matter_80%+,349,73.77,24.64,75.93,34.36,72.86,38
Right Caudate,116,69.17,20.55,68.15,21.89,68.82,50
Right Cerebellum,194,47.67,17.13,47.04,18.19,44.99,32
Right Frontal Lobe,2332,97.41,48.56,89.45,57.74,88.03,89
Right Insula,119,79.10,25.79,78.49,31.55,68.60,73
Right Occipital Lobe,636,70.71,41.32,63.38,34.26,61.12,91
Right Parietal Lobe,1630,92.42,34.63,88.56,43.30,84.29,87
Right Putamen,75,77.92,20.25,77.46,23.79,77.47,0
Right Temporal Lobe,1204,65.67,38.02,62.10,52.07,61.66,83
Right Thalamus,83,91.60,25.84,89.15,38.35,94.82,68
Left Caudate,121,59.27,19.71,59.03,27.65,58.66,54
Left Cerebellum,178,54.58,23.84,50.56,21.48,45.74,71
Left Frontal Lobe,2180,96.31,46.81,89.78,48.63,89.46,87
Left Insula,127,70.45,22.37,71.13,30.31,63.76,73
Left Occipital Lobe,931,66.86,32.83,64.54,35.12,60.46,89
Left Parietal Lobe,1399,86.38,29.76,83.03,36.67,81.15,83
Left Putamen,78,69.38,18.48,71.53,23.48,68.66,7
Left Temporal Lobe,1210,68.90,36.59,67.37,51.25,62.65,87
Left Thalamus,83,100.67,34.27,99.28,48.08,98.30,80
RICA,3272,91.39,41.63,86.52,49.34,83.37,89
LICA,3336,87.17,38.60,84.66,43.10,81.23,88
VBA,930,56.84,27.72,53.60,33.01,51.17,86
Frontal Pole,565,98.67,46.70,91.48,52.56,91.15,89
Insular Cortex,50,58.27,18.43,54.78,24.16,50.95,56
Superior Frontal Gyrus,7,,,,,,
Middle Frontal Gyrus,44,119.05,52.32,106.83,62.29,97.57,94
"Inferior Frontal Gyrus, pars triangularis",5,,,,,,
"Inferior Frontal Gyrus, pars opercularis",17,91.38,21.35,87.46,28.52,87.21,82
Precentral Gyrus,81,89.38,33.45,88.15,31.67,84.18,85
Temporal Pole,139,64.46,28.40,63.08,37.07,61.16,83
"Superior Temporal Gyrus, anterior division",2,,,,,,
"Superior Temporal Gyrus, posterior division",15,87.32,28.54,80.46,27.57,79.50,88
"Middle Temporal Gyrus, anterior division",4,,,,,,
"Middle Temporal Gyrus, posterior division",37,78.68,55.15,72.72,65.20,82.62,85
"Middle Temporal Gyrus, temporooccipital part",24,86.66,21.51,83.74,19.10,79.92,72
"Inferior Temporal Gyrus, anterior division",3,,,,,,
"Inferior Temporal Gyrus, posterior division",0,,,,,,
"Inferior Temporal Gyrus, temporooccipital part",30,52.51,18.59,46.27,30.45,49.38,69
Postcentral Gyrus,69,87.75,31.06,80.05,45.73,77.43,87
Superior Parietal Lobule,7,,,,,,
"Supramarginal Gyrus, anterior division",26,90.21,37.91,73.15,65.40,72.84,85
"Supramarginal Gyrus, posterior division",13,82.68,30.90,70.70,30.58,67.15,80
Angular Gyrus,27,91.44,28.50,82.99,36.02,73.22,85
"Lateral Occipital Cortex, superior division",183,92.35,36.50,85.15,48.25,79.28,93
"Lateral Occipital Cortex, inferior division",81,54.44,34.49,53.36,51.86,50.66,94
Intracalcarine Cortex,21,69.40,14.76,69.43,16.54,66.16,59
Frontal Medial Cortex,28,74.39,49.10,86.82,72.23,90.80,62
Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),30,99.71,45.46,85.87,54.52,81.80,92
Subcallosal Cortex,55,53.90,24.54,55.76,31.54,50.69,54
Paracingulate Gyrus,116,96.02,30.17,89.64,38.20,81.46,85
"Cingulate Gyrus, anterior division",95,81.15,24.92,77.70,35.84,69.82,78
"Cingulate Gyrus, posterior division",70,93.03,24.18,90.68,30.75,87.22,83
Precuneous Cortex,190,82.80,28.60,78.69,31.40,77.73,87
Cuneal Cortex,15,64.51,13.83,59.84,10.87,60.18,31
Frontal Orbital Cortex,93,59.48,23.57,62.74,28.26,59.38,43
"Parahippocampal Gyrus, anterior division",21,32.91,19.39,35.12,23.48,31.48,75
"Parahippocampal Gyrus, posterior division",0,,,,,,
Lingual Gyrus,74,57.48,14.72,55.35,23.95,52.61,54
"Temporal Fusiform Cortex, anterior division",7,,,,,,
"Temporal Fusiform Cortex, posterior division",8,,,,,,
Temporal Occipital Fusiform Cortex,17,43.90,11.38,44.75,10.90,40.37,27
Occipital Fusiform Gyrus,12,46.23,15.33,44.52,18.65,40.93,60
Frontal Operculum Cortex,2,,,,,,
Central Opercular Cortex,55,87.28,22.90,82.70,29.30,79.42,62
Parietal Operculum Cortex,7,,,,,,
Planum Polare,5,,,,,,
Heschl's Gyrus (includes H1 and H2),3,,,,,,
Planum Temporale,0,,,,,,
Supracalcarine Cortex,0,,,,,,
Occipital Pole,95,75.66,29.11,74.65,39.20,67.33,91
Left Cerebral White Matter,1460,76.71,29.27,77.55,39.44,78.24,75
Left Cerebral Cortex,3727,83.32,37.88,79.34,43.13,74.58,90
Left Lateral Ventricle,29,91.67,39.42,81.38,41.28,94.08,86
Left Thalamus,45,98.07,27.46,99.20,28.21,90.54,65
Left Caudate,39,68.61,14.66,69.27,24.14,62.87,63
Left Putamen,39,74.72,18.17,78.53,22.53,72.76,21
Left Pallidum,0,,,,,,
Brain-Stem,28,66.30,29.51,62.00,38.29,57.33,62
Left Hippocampus,27,53.68,19.28,49.55,21.07,50.08,83
Left Amygdala,8,,,,,,
Left Accumbens,4,,,,,,
Right Cerebral White Matter,1788,77.03,33.66,74.88,43.77,76.12,85
