name,Nvoxels,Mean,Std,Median,IQR,Precision-weighted mean,I2
10%+GM,8974,20.67,7.64,19.74,8.86,20.25,29
80%+GM,317,20.11,4.60,20.08,5.31,20.11,0
10%+WM,11420,20.82,8.00,19.72,9.26,20.18,47
90%+WM,2250,21.38,9.17,19.57,10.98,20.03,74
gmmask_pure_cort,175,19.80,5.23,20.15,6.49,19.79,0
wmmask_pure_cereb,1858,20.15,8.54,18.70,9.30,19.04,71
Right_Cerebral_White_Matter_80%+,1075,18.10,8.29,16.70,9.25,17.48,64
Left_Cerebral_White_Matter_80%+,1084,20.47,8.66,18.87,8.46,19.34,68
Right Caudate,102,15.85,4.21,15.46,5.78,15.97,0
Right Cerebellum,524,23.88,7.07,21.98,11.12,24.13,26
Right Frontal Lobe,1367,22.11,8.70,21.11,11.87,22.07,48
Right Insula,105,20.44,4.06,20.47,4.33,20.23,0
Right Occipital Lobe,585,18.08,5.02,18.46,5.99,17.42,0
Right Parietal Lobe,1135,16.33,5.58,15.89,6.55,16.51,0
Right Putamen,101,22.27,6.03,22.52,7.88,22.00,0
Right Temporal Lobe,914,16.58,5.72,16.41,6.32,15.18,18
Right Thalamus,132,29.64,7.02,29.48,8.74,29.05,33
Left Caudate,92,20.42,5.71,19.31,7.38,19.91,0
Left Cerebellum,506,23.48,6.05,22.06,8.38,23.50,14
Left Frontal Lobe,1368,24.49,9.90,22.54,12.45,24.03,58
Left Insula,91,21.41,5.12,20.98,5.18,21.15,0
Left Occipital Lobe,783,19.03,6.47,19.27,8.05,18.00,40
Left Parietal Lobe,1019,19.10,5.38,18.62,6.89,18.60,1
Left Putamen,108,24.72,4.20,24.78,5.08,24.52,0
Left Temporal Lobe,800,20.41,7.06,20.69,7.63,19.47,33
Left Thalamus,125,34.11,7.40,34.18,10.82,33.72,37
RICA,2044,19.43,7.14,18.14,9.12,19.40,12
LICA,2141,22.30,8.02,20.97,8.67,21.95,32
VBA,903,18.66,4.69,18.84,6.17,18.55,0
Frontal Pole,245,32.67,9.23,33.57,12.93,31.53,52
Insular Cortex,29,20.49,2.13,20.09,3.30,20.50,0
Superior Frontal Gyrus,1,,,,,,
Middle Frontal Gyrus,20,17.58,4.69,17.32,4.29,17.63,0
"Inferior Frontal Gyrus, pars triangularis",4,,,,,,
"Inferior Frontal Gyrus, pars opercularis",8,,,,,,
Precentral Gyrus,49,16.06,6.66,15.59,10.71,15.89,0
Temporal Pole,91,22.37,2.55,22.48,4.23,22.37,0
"Superior Temporal Gyrus, anterior division",2,,,,,,
"Superior Temporal Gyrus, posterior division",2,,,,,,
"Middle Temporal Gyrus, anterior division",0,,,,,,
"Middle Temporal Gyrus, posterior division",23,16.38,2.57,16.36,3.09,16.39,0
"Middle Temporal Gyrus, temporooccipital part",25,18.62,4.24,17.24,1.69,18.60,0
"Inferior Temporal Gyrus, anterior division",2,,,,,,
"Inferior Temporal Gyrus, posterior division",0,,,,,,
