name,Nvoxels,Mean,Std,Median,IQR,Precision-weighted mean,I2
10%+GM,13860,33.70,15.18,35.13,20.88,30.87,93
80%+GM,529,38.31,13.05,40.00,16.00,36.46,91
10%+WM,11184,30.38,14.67,30.91,22.31,27.47,93
90%+WM,1756,18.69,10.07,16.92,11.86,16.98,85
gmmask_pure_cort,314,37.37,14.30,38.66,17.19,33.77,93
wmmask_pure_cereb,1499,17.13,9.58,15.47,10.25,15.99,85
Right_Cerebral_White_Matter_80%+,1026,16.31,9.90,14.08,10.90,14.52,85
Left_Cerebral_White_Matter_80%+,1015,18.31,9.69,16.70,10.76,17.04,82
Right Caudate,212,20.92,13.54,15.73,21.34,19.64,88
Right Cerebellum,373,32.50,13.69,33.57,16.83,33.54,91
Right Frontal Lobe,2400,35.05,13.38,36.93,19.10,32.57,89
Right Insula,131,33.54,7.74,33.21,11.91,32.32,68
Right Occipital Lobe,758,32.33,13.50,33.01,16.38,29.17,93
Right Parietal Lobe,1816,32.73,15.39,34.94,24.05,28.21,95
Right Putamen,143,35.12,8.99,35.85,13.68,32.91,77
Right Temporal Lobe,1264,22.42,14.75,23.29,22.54,18.93,92
Right Thalamus,184,30.86,13.40,30.48,20.79,29.79,87
Left Caudate,255,20.58,15.23,18.55,20.09,18.91,90
Left Cerebellum,480,33.36,12.86,35.57,15.91,32.71,92
Left Frontal Lobe,2384,40.39,14.04,41.97,19.49,38.46,89
Left Insula,148,39.10,8.88,39.04,13.09,38.06,68
Left Occipital Lobe,1011,32.65,16.14,33.85,20.78,29.00,95
Left Parietal Lobe,1513,35.59,14.70,37.42,20.15,32.96,94
Left Putamen,142,39.41,11.06,39.43,17.09,37.55,79
Left Temporal Lobe,1293,22.68,16.36,21.93,28.16,20.31,93
Left Thalamus,166,35.57,13.87,36.27,20.05,32.90,88
RICA,3296,34.50,13.10,35.53,18.11,31.27,91
LICA,3351,38.55,14.29,40.22,17.84,36.81,90
VBA,1126,32.92,13.66,33.31,14.59,30.30,93
Frontal Pole,494,46.40,10.04,46.90,13.52,44.89,73
Insular Cortex,55,36.48,7.22,35.66,8.10,36.94,42
Superior Frontal Gyrus,20,38.72,9.37,40.48,9.81,33.46,86
Middle Frontal Gyrus,38,53.87,11.64,56.97,12.08,50.02,88
"Inferior Frontal Gyrus, pars triangularis",3,,,,,,
"Inferior Frontal Gyrus, pars opercularis",14,49.17,4.86,49.17,6.80,48.91,0
Precentral Gyrus,77,45.33,10.45,46.37,12.50,43.83,84
Temporal Pole,105,31.62,10.42,31.90,12.75,31.40,76
"Superior Temporal Gyrus, anterior division",0,,,,,,
"Superior Temporal Gyrus, posterior division",17,34.27,12.78,35.83,22.02,37.12,82
"Middle Temporal Gyrus, anterior division",4,,,,,,
"Middle Temporal Gyrus, posterior division",47,23.13,12.83,23.55,20.84,22.34,88
"Middle Temporal Gyrus, temporooccipital part",16,32.48,9.29,30.83,14.56,31.68,80
"Inferior Temporal Gyrus, anterior division",0,,,,,,
"Inferior Temporal Gyrus, posterior division",0,,,,,,
"Inferior Temporal Gyrus, temporooccipital part",9,,,,,,
Postcentral Gyrus,95,42.66,7.09,43.38,10.23,41.28,73
Superior Parietal Lobule,21,42.13,7.79,41.46,12.63,41.73,78
"Supramarginal Gyrus, anterior division",22,47.00,8.61,46.36,12.34,44.65,82
"Supramarginal Gyrus, posterior division",17,39.03,6.52,38.75,10.86,36.93,70
Angular Gyrus,37,34.77,9.77,34.95,15.43,33.07,89
"Lateral Occipital Cortex, superior division",313,36.69,17.43,37.59,26.27,30.35,97
"Lateral Occipital Cortex, inferior division",89,32.06,12.60,32.83,13.23,30.85,92
Intracalcarine Cortex,11,46.05,3.64,46.81,5.27,45.48,0
Frontal Medial Cortex,27,35.98,11.64,40.53,15.85,35.37,86
Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),54,41.36,5.94,41.78,7.90,40.86,54
Subcallosal Cortex,31,29.31,10.76,30.96,12.79,29.72,62
Paracingulate Gyrus,62,52.23,6.02,52.38,8.88,52.41,28
"Cingulate Gyrus, anterior division",72,41.16,8.19,40.17,11.53,41.84,59
"Cingulate Gyrus, posterior division",47,57.29,17.90,59.21,19.75,54.59,94
Precuneous Cortex,146,47.22,10.28,46.93,14.52,46.13,84
Cuneal Cortex,5,,,,,,
Frontal Orbital Cortex,81,35.49,9.78,34.05,14.02,36.43,44
"Parahippocampal Gyrus, anterior division",12,9.70,12.40,5.91,8.13,7.97,62
"Parahippocampal Gyrus, posterior division",1,,,,,,
Lingual Gyrus,75,35.36,7.15,35.50,7.75,35.87,71
"Temporal Fusiform Cortex, anterior division",4,,,,,,
"Temporal Fusiform Cortex, posterior division",13,18.80,16.34,16.18,27.94,7.34,96
Temporal Occipital Fusiform Cortex,13,30.45,3.07,30.10,2.74,30.55,0
Occipital Fusiform Gyrus,20,31.34,5.50,31.38,8.59,30.93,72
Frontal Operculum Cortex,0,,,,,,
Central Opercular Cortex,15,43.30,8.71,42.44,14.01,42.66,68
Parietal Operculum Cortex,0,,,,,,
Planum Polare,0,,,,,,
Heschl's Gyrus (includes H1 and H2),0,,,,,,
Planum Temporale,0,,,,,,
Supracalcarine Cortex,0,,,,,,
Occipital Pole,113,44.48,14.69,42.61,22.79,41.32,94
Left Cerebral White Matter,2239,23.47,13.39,21.02,19.26,21.56,91
Left Cerebral Cortex,3535,40.01,14.19,41.40,16.72,37.74,91
Left Lateral Ventricle,170,13.44,15.14,8.76,12.30,12.00,91
Left Thalamus,80,40.35,11.13,41.75,14.42,38.89,80
Left Caudate,45,37.57,15.16,38.56,25.48,37.93,88
Left Putamen,65,47.19,8.89,46.73,10.27,45.91,66
Left Pallidum,17,24.70,6.82,23.52,7.84,25.30,51
Brain-Stem,190,28.52,7.87,29.52,7.98,27.68,65
Left Hippocampus,23,22.90,6.50,21.68,6.57,21.70,54
Left Amygdala,13,32.23,3.87,31.84,5.39,32.56,0
Left Accumbens,1,,,,,,
Right Cerebral White Matter,2246,21.31,12.17,19.49,17.14,19.03,90
Right Cerebral Cortex,3513,36.07,12.90,37.07,16.43,32.87,91
Right Lateral Ventricle,145,19.42,17.51,11.74,25.15,18.02,94
Right Thalamus,73,42.00,10.37,42.19,11.31,41.19,78
Right Caudate,56,30.15,14.74,30.05,23.58,30.90,87
Right Putamen,72,39.38,8.84,40.33,8.33,36.32,82
Right Pallidum,22,28.27,5.72,27.19,6.50,27.88,35
Right Hippocampus,24,33.48,16.86,26.68,12.05,29.06,91
Right Amygdala,11,33.31,9.13,33.31,10.36,32.55,70
Right Accumbens,0,,,,,,
