name,Nvoxels,Mean,Std,Median,IQR,Precision-weighted mean,I2
10%+GM,13860,66.91,42.01,60.31,45.73,54.03,91
80%+GM,529,46.03,17.06,47.52,20.55,41.85,91
10%+WM,9116,57.78,29.57,56.27,37.12,50.87,86
90%+WM,0,,,,,,
gmmask_pure_cort,314,45.96,19.01,47.30,24.08,38.32,93
wmmask_pure_cereb,0,,,,,,
Right_Cerebral_White_Matter_80%+,371,37.35,22.81,35.60,32.62,31.22,44
Left_Cerebral_White_Matter_80%+,390,49.34,22.77,48.62,31.99,45.82,37
Right Caudate,161,44.97,29.38,40.09,43.76,49.86,79
Right Cerebellum,301,51.39,27.74,48.68,28.48,50.78,86
Right Frontal Lobe,2133,77.57,39.90,69.01,43.38,66.82,85
Right Insula,126,50.11,14.39,46.79,24.53,46.23,54
Right Occipital Lobe,701,58.83,40.92,50.25,32.01,46.31,91
Right Parietal Lobe,1577,69.42,46.86,61.90,52.65,51.55,94
Right Putamen,141,50.54,16.18,51.80,22.81,39.46,73
Right Temporal Lobe,1160,39.51,27.23,38.87,38.88,35.15,85
Right Thalamus,113,84.00,32.46,79.58,30.18,82.94,68
Left Caudate,181,47.30,28.65,42.24,46.66,46.81,83
Left Cerebellum,386,53.49,24.64,52.30,15.66,49.86,83
Left Frontal Lobe,2130,90.64,40.81,83.36,48.19,78.28,86
Left Insula,145,63.67,19.07,61.63,23.48,57.93,64
Left Occipital Lobe,918,58.04,37.25,51.46,34.25,51.23,92
Left Parietal Lobe,1320,77.84,44.88,69.78,45.88,63.11,93
Left Putamen,137,56.61,18.98,54.65,28.33,50.05,69
Left Temporal Lobe,1186,43.12,34.32,38.79,49.98,34.83,89
Left Thalamus,103,91.35,31.47,84.46,36.99,87.31,74
RICA,3199,65.77,35.90,61.47,39.99,54.45,90
LICA,3254,75.14,38.80,72.01,42.43,64.68,90
VBA,1105,51.28,28.02,47.75,24.90,46.51,88
Frontal Pole,493,89.41,30.89,86.09,36.82,78.83,83
Insular Cortex,55,48.11,12.25,44.29,17.85,46.88,50
Superior Frontal Gyrus,20,60.27,19.45,61.16,30.77,50.30,88
Middle Frontal Gyrus,38,107.29,31.23,108.84,44.19,90.49,91
"Inferior Frontal Gyrus, pars triangularis",3,,,,,,
"Inferior Frontal Gyrus, pars opercularis",14,81.74,13.37,83.52,16.36,78.93,38
Precentral Gyrus,76,84.99,29.07,83.29,29.15,77.48,84
Temporal Pole,105,50.64,20.69,50.69,27.82,50.06,73
"Superior Temporal Gyrus, anterior division",0,,,,,,
"Superior Temporal Gyrus, posterior division",17,50.89,22.32,56.43,37.53,57.70,79
"Middle Temporal Gyrus, anterior division",4,,,,,,
"Middle Temporal Gyrus, posterior division",47,37.69,22.63,39.26,33.20,34.02,86
"Middle Temporal Gyrus, temporooccipital part",16,47.46,17.08,47.41,26.31,45.28,82
"Inferior Temporal Gyrus, anterior division",0,,,,,,
"Inferior Temporal Gyrus, posterior division",0,,,,,,
"Inferior Temporal Gyrus, temporooccipital part",9,,,,,,
Postcentral Gyrus,94,89.69,30.77,85.67,40.79,77.78,87
Superior Parietal Lobule,19,102.75,49.72,85.37,64.15,77.29,94
"Supramarginal Gyrus, anterior division",22,80.99,20.48,76.07,27.09,76.54,85
"Supramarginal Gyrus, posterior division",17,60.60,21.02,52.91,20.37,52.71,80
Angular Gyrus,37,58.84,27.47,54.02,33.41,48.89,93
"Lateral Occipital Cortex, superior division",311,63.43,39.18,60.17,48.09,50.67,96
"Lateral Occipital Cortex, inferior division",89,46.99,22.53,44.30,30.34,42.64,90
Intracalcarine Cortex,11,78.88,5.62,78.83,5.38,78.54,0
Frontal Medial Cortex,27,61.88,30.80,56.31,37.28,53.54,91
Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),53,77.27,24.58,72.70,25.56,68.10,81
Subcallosal Cortex,31,48.35,22.69,50.61,30.11,45.48,69
Paracingulate Gyrus,61,97.26,35.07,84.29,40.04,81.82,84
"Cingulate Gyrus, anterior division",71,68.15,18.59,63.29,27.61,61.97,68
"Cingulate Gyrus, posterior division",47,86.39,40.70,80.37,30.53,70.66,96
Precuneous Cortex,146,79.32,35.58,71.49,31.41,69.06,90
Cuneal Cortex,5,,,,,,
Frontal Orbital Cortex,81,61.46,22.45,61.20,32.34,61.85,40
"Parahippocampal Gyrus, anterior division",12,16.71,26.94,4.61,13.99,7.63,63
"Parahippocampal Gyrus, posterior division",1,,,,,,
Lingual Gyrus,75,50.36,12.13,49.40,15.79,48.51,49
"Temporal Fusiform Cortex, anterior division",4,,,,,,
"Temporal Fusiform Cortex, posterior division",13,24.38,22.13,17.69,34.18,10.46,94
Temporal Occipital Fusiform Cortex,13,39.60,5.83,39.54,10.07,38.80,0
Occipital Fusiform Gyrus,20,42.34,8.21,42.11,13.60,42.28,63
Frontal Operculum Cortex,0,,,,,,
Central Opercular Cortex,15,73.81,20.39,69.55,31.67,67.67,77
Parietal Operculum Cortex,0,,,,,,
Planum Polare,0,,,,,,
Heschl's Gyrus (includes H1 and H2),0,,,,,,
Planum Temporale,0,,,,,,
Supracalcarine Cortex,0,,,,,,
Occipital Pole,113,77.24,33.88,69.78,48.51,69.48,92
Left Cerebral White Matter,1429,52.75,28.28,52.89,39.28,45.50,80
Left Cerebral Cortex,3500,73.11,37.84,69.40,42.24,59.38,93
Left Lateral Ventricle,35,77.53,52.50,56.84,64.78,80.07,86
Left Thalamus,64,89.46,23.80,85.20,20.35,90.16,56
Left Caudate,45,60.26,26.00,66.24,42.78,63.31,85
Left Putamen,65,63.30,16.77,60.72,24.44,56.54,68
Left Pallidum,5,,,,,,
Brain-Stem,76,49.61,24.40,43.85,23.33,49.19,40
Left Hippocampus,23,26.55,10.44,28.18,9.54,24.18,60
Left Amygdala,13,39.72,8.54,39.81,7.27,39.52,0
Left Accumbens,1,,,,,,
Right Cerebral White Matter,1412,43.51,24.77,42.24,34.47,35.68,76
Right Cerebral Cortex,3471,64.89,34.30,61.10,38.26,52.75,91
Right Lateral Ventricle,24,93.40,51.17,85.22,58.74,96.70,89
Right Thalamus,64,94.10,32.59,87.89,23.22,89.96,70
Right Caudate,55,50.71,26.13,50.23,45.61,53.64,82
Right Putamen,72,52.85,15.73,53.46,18.45,41.53,81
Right Pallidum,6,,,,,,
Right Hippocampus,24,43.02,32.14,29.41,27.01,35.63,91
Right Amygdala,11,43.11,14.99,42.21,12.89,37.48,73
Right Accumbens,0,,,,,,
