name,Nvoxels,Mean,Std,Median,IQR,Precision-weighted mean,I2
10%+GM,13728,43.01,19.07,44.26,26.16,41.09,91
80%+GM,529,46.89,15.48,48.68,18.84,47.15,87
10%+WM,11166,38.63,18.47,38.86,27.15,35.97,92
90%+WM,1756,23.89,12.67,21.76,15.15,22.28,85
gmmask_pure_cort,314,46.43,16.74,46.50,20.96,45.75,88
wmmask_pure_cereb,1499,22.54,12.77,20.03,12.97,21.09,85
Right_Cerebral_White_Matter_80%+,1026,22.45,13.65,19.54,14.85,20.00,85
Left_Cerebral_White_Matter_80%+,1015,22.54,11.49,20.73,12.20,21.53,82
Right Caudate,212,22.66,13.55,18.62,20.78,21.19,88
Right Cerebellum,373,38.47,16.04,39.64,19.47,40.69,90
Right Frontal Lobe,2364,46.41,17.61,48.65,25.26,43.91,88
Right Insula,131,41.52,9.12,41.04,13.82,40.58,65
Right Occipital Lobe,758,42.09,16.50,43.73,19.61,39.41,92
Right Parietal Lobe,1816,43.98,20.31,46.83,32.28,38.67,95
Right Putamen,143,41.60,10.02,42.80,15.31,39.80,75
Right Temporal Lobe,1264,36.40,21.92,36.33,29.49,36.30,87
Right Thalamus,184,33.51,13.34,32.82,20.17,33.07,85
Left Caudate,255,20.35,14.23,19.30,20.14,17.78,91
Left Cerebellum,480,42.47,15.90,43.77,20.45,43.31,87
Left Frontal Lobe,2243,49.04,17.72,49.97,24.67,47.04,89
Left Insula,148,41.00,9.99,40.61,14.79,39.97,70
Left Occipital Lobe,1011,43.65,20.85,44.93,27.01,40.20,95
Left Parietal Lobe,1513,44.92,18.57,46.87,26.28,41.65,94
Left Putamen,142,40.66,10.58,40.48,16.98,39.34,77
Left Temporal Lobe,1292,29.77,20.59,29.11,31.86,30.84,90
Left Thalamus,166,35.90,13.13,37.42,19.83,33.79,87
RICA,3296,47.95,17.44,49.20,24.01,44.96,89
LICA,3330,47.76,17.95,48.70,23.22,46.46,90
VBA,1126,43.71,17.42,44.04,18.34,41.35,92
Frontal Pole,494,55.97,11.65,56.47,16.36,54.17,71
Insular Cortex,55,41.03,8.24,39.99,11.87,41.69,46
Superior Frontal Gyrus,20,48.33,9.66,49.77,7.26,43.69,82
Middle Frontal Gyrus,38,69.65,14.10,72.82,14.04,65.50,86
"Inferior Frontal Gyrus, pars triangularis",3,,,,,,
"Inferior Frontal Gyrus, pars opercularis",14,58.75,4.70,59.70,6.93,58.28,0
Precentral Gyrus,77,58.48,12.84,59.07,13.31,55.96,84
Temporal Pole,105,39.39,14.50,39.23,18.76,37.00,78
"Superior Temporal Gyrus, anterior division",0,,,,,,
"Superior Temporal Gyrus, posterior division",17,51.42,14.72,52.15,27.01,56.92,61
"Middle Temporal Gyrus, anterior division",4,,,,,,
"Middle Temporal Gyrus, posterior division",47,56.21,23.42,54.52,29.85,57.64,78
"Middle Temporal Gyrus, temporooccipital part",16,68.03,21.57,64.75,14.97,63.30,82
"Inferior Temporal Gyrus, anterior division",0,,,,,,
"Inferior Temporal Gyrus, posterior division",0,,,,,,
"Inferior Temporal Gyrus, temporooccipital part",9,,,,,,
Postcentral Gyrus,95,57.25,10.95,56.76,16.26,55.34,76
Superior Parietal Lobule,21,53.75,10.13,50.78,13.17,53.01,79
"Supramarginal Gyrus, anterior division",22,62.10,10.36,62.42,15.30,59.46,79
"Supramarginal Gyrus, posterior division",17,53.25,9.30,52.83,14.26,50.07,73
Angular Gyrus,37,48.21,13.34,47.69,20.33,45.74,89
"Lateral Occipital Cortex, superior division",313,48.53,22.44,49.23,33.78,41.92,96
"Lateral Occipital Cortex, inferior division",89,46.72,18.07,47.23,18.77,44.96,91
Intracalcarine Cortex,11,57.42,5.10,57.94,8.44,56.51,12
Frontal Medial Cortex,27,54.27,13.02,54.78,9.71,52.79,66
Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),54,51.44,7.31,52.44,10.32,50.69,52
Subcallosal Cortex,31,32.04,9.05,32.70,13.90,32.91,32
Paracingulate Gyrus,62,55.48,6.46,54.99,9.59,55.86,29
"Cingulate Gyrus, anterior division",72,43.88,8.21,43.08,9.94,44.98,51
"Cingulate Gyrus, posterior division",47,64.81,19.05,66.77,21.00,63.54,92
Precuneous Cortex,146,54.47,11.18,54.41,15.64,53.78,81
Cuneal Cortex,5,,,,,,
Frontal Orbital Cortex,81,39.74,8.62,40.41,10.12,40.84,16
"Parahippocampal Gyrus, anterior division",12,9.85,11.39,6.30,9.27,9.21,60
"Parahippocampal Gyrus, posterior division",1,,,,,,
Lingual Gyrus,75,44.07,10.02,45.44,12.64,44.32,78
"Temporal Fusiform Cortex, anterior division",4,,,,,,
"Temporal Fusiform Cortex, posterior division",13,20.81,16.60,16.61,28.41,20.73,91
Temporal Occipital Fusiform Cortex,13,37.97,3.35,37.92,4.13,38.00,0
Occipital Fusiform Gyrus,20,44.00,7.80,44.85,12.71,43.48,72
Frontal Operculum Cortex,0,,,,,,
Central Opercular Cortex,15,57.34,10.86,57.27,9.90,57.63,57
Parietal Operculum Cortex,0,,,,,,
Planum Polare,0,,,,,,
Heschl's Gyrus (includes H1 and H2),0,,,,,,
Planum Temporale,0,,,,,,
Supracalcarine Cortex,0,,,,,,
Occipital Pole,113,56.40,17.57,54.34,26.86,52.12,93
Left Cerebral White Matter,2239,29.08,16.22,26.06,22.19,27.43,91
Left Cerebral Cortex,3531,49.87,17.48,50.64,20.91,48.95,89
Left Lateral Ventricle,170,12.31,14.33,7.86,11.93,10.28,91
Left Thalamus,80,40.81,10.57,41.85,14.16,39.49,78
Left Caudate,45,35.37,13.45,37.14,24.59,36.55,86
Left Putamen,65,48.33,8.05,49.10,10.06,47.52,60
Left Pallidum,17,25.75,6.71,24.47,6.34,26.85,43
Brain-Stem,190,31.29,7.94,32.33,8.40,30.93,57
Left Hippocampus,23,27.71,5.50,27.34,6.14,27.85,11
Left Amygdala,13,34.11,4.50,33.86,5.29,34.36,0
Left Accumbens,1,,,,,,
Right Cerebral White Matter,2246,29.24,16.43,26.80,22.80,26.51,90
Right Cerebral Cortex,3513,49.03,16.35,49.71,20.96,46.04,89
Right Lateral Ventricle,145,19.77,18.71,10.96,25.84,16.00,95
Right Thalamus,73,44.85,10.13,45.47,15.67,44.42,74
Right Caudate,56,31.91,14.12,34.05,26.15,34.16,84
Right Putamen,72,46.35,9.64,47.69,9.43,43.65,79
Right Pallidum,22,35.12,7.33,35.17,8.46,34.58,41
Right Hippocampus,24,39.43,18.99,33.25,19.72,38.28,89
Right Amygdala,11,40.33,9.61,41.06,9.28,40.06,59
Right Accumbens,0,,,,,,
