name,Nvoxels,Mean,Std,Median,IQR,Precision-weighted mean,I2
10%+GM,9098,25.97,10.09,25.06,12.56,25.00,4
80%+GM,176,25.16,6.33,24.79,8.82,24.02,0
10%+WM,11166,25.81,10.72,24.76,13.25,24.15,46
90%+WM,1756,25.04,12.54,22.89,15.50,23.07,81
gmmask_pure_cort,107,24.05,7.13,23.45,8.85,22.59,0
wmmask_pure_cereb,1499,23.45,12.42,21.35,13.03,21.60,80
Right_Cerebral_White_Matter_80%+,1026,21.67,12.44,19.67,13.72,19.53,74
Left_Cerebral_White_Matter_80%+,1015,20.33,9.37,19.55,10.22,19.80,62
Right Caudate,143,17.92,5.09,17.70,5.18,18.29,0
Right Cerebellum,208,30.94,8.51,31.43,10.39,30.58,34
Right Frontal Lobe,1539,23.99,8.41,23.39,11.80,23.78,0
Right Insula,87,24.08,2.92,24.24,3.30,23.95,0
Right Occipital Lobe,519,36.13,8.44,36.56,10.00,35.52,23
Right Parietal Lobe,1178,26.06,11.71,25.23,15.01,22.93,61
Right Putamen,136,27.41,4.51,26.67,6.17,27.80,0
Right Temporal Lobe,791,31.50,14.52,29.57,11.83,26.96,0
Right Thalamus,174,27.81,8.83,26.67,9.15,27.71,45
Left Caudate,167,19.24,4.97,19.36,6.55,19.27,0
Left Cerebellum,315,33.12,9.29,31.74,8.05,33.75,0
Left Frontal Lobe,1483,22.83,8.44,22.05,10.43,23.16,9
Left Insula,93,22.88,4.50,22.22,6.20,22.89,0
Left Occipital Lobe,716,31.15,11.09,31.80,13.33,29.29,52
Left Parietal Lobe,1030,24.25,10.12,23.36,11.71,22.84,54
Left Putamen,133,25.41,4.65,24.54,4.85,25.95,0
Left Temporal Lobe,745,22.29,8.61,22.09,9.94,21.91,0
Left Thalamus,147,30.42,8.96,30.03,12.21,29.11,55
RICA,2268,27.68,9.76,27.03,11.66,26.80,0
LICA,2368,24.14,8.48,23.30,10.27,24.59,0
VBA,844,32.85,9.37,33.19,12.78,32.42,13
Frontal Pole,335,19.74,7.22,18.93,11.08,19.32,0
Insular Cortex,23,22.03,3.57,23.31,6.78,21.48,0
Superior Frontal Gyrus,9,,,,,,
Middle Frontal Gyrus,25,27.72,6.72,27.05,13.59,27.34,0
"Inferior Frontal Gyrus, pars triangularis",3,,,,,,
"Inferior Frontal Gyrus, pars opercularis",9,,,,,,
Precentral Gyrus,63,31.18,7.87,31.10,8.46,32.32,3
Temporal Pole,80,24.85,7.47,22.20,13.98,22.83,0
"Superior Temporal Gyrus, anterior division",0,,,,,,
"Superior Temporal Gyrus, posterior division",12,27.92,9.41,24.87,8.76,25.04,0
"Middle Temporal Gyrus, anterior division",3,,,,,,
"Middle Temporal Gyrus, posterior division",23,41.12,22.43,32.47,9.48,31.05,0
"Middle Temporal Gyrus, temporooccipital part",10,39.97,1.91,39.83,2.71,39.27,0
"Inferior Temporal Gyrus, anterior division",0,,,,,,
"Inferior Temporal Gyrus, posterior division",0,,,,,,
"Inferior Temporal Gyrus, temporooccipital part",3,,,,,,
Postcentral Gyrus,66,28.93,6.04,29.49,8.77,29.35,0
Superior Parietal Lobule,9,,,,,,
"Supramarginal Gyrus, anterior division",16,22.75,2.46,22.45,2.25,22.71,0
"Supramarginal Gyrus, posterior division",11,24.95,4.40,23.54,7.87,25.07,0
Angular Gyrus,23,25.54,5.05,25.53,6.86,25.24,0
"Lateral Occipital Cortex, superior division",196,21.94,7.03,20.51,8.97,22.18,0
"Lateral Occipital Cortex, inferior division",52,37.99,3.85,37.56,4.29,37.90,0
Intracalcarine Cortex,11,44.89,2.76,44.90,2.80,44.85,0
Frontal Medial Cortex,11,18.53,2.95,17.73,5.34,17.66,0
Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),29,20.52,5.11,20.25,7.21,20.82,0
Subcallosal Cortex,18,17.51,2.92,16.43,4.35,16.87,0
Paracingulate Gyrus,11,18.03,1.79,17.59,1.57,18.10,0
"Cingulate Gyrus, anterior division",31,16.90,1.92,16.92,2.26,16.95,0
"Cingulate Gyrus, posterior division",19,15.15,3.49,15.57,3.95,14.83,0
Precuneous Cortex,71,29.39,4.58,28.84,6.44,29.34,0
Cuneal Cortex,4,,,,,,
Frontal Orbital Cortex,64,25.61,6.55,23.61,4.62,24.21,0
"Parahippocampal Gyrus, anterior division",8,,,,,,
"Parahippocampal Gyrus, posterior division",1,,,,,,
